Q5,Q7,Q8,Q9,Q15,Q16,Q17,Q20,Q23,Q23_5_TEXT,Q29_1,Q31,Q55,Q35,Q36,Q40_1,Q40_2,Q40_3,Q41_23,Q42_1,Q42_2,Q42_3,Q43_1,Q43_2,Q43_3,Q43_4,Q43_5,Q43_6,Q43_7,Q43_8,Q43_9,Q43_10,Q43_11,Q43_11_TEXT,Q47_1,Q47_2
Physical Sciences/Mathematics,Woman,White,21,Yes,Absentee / mail ballot,3rd party,"Sad,Angry",Volunteering,,,Yes; it was counted,Mostly Democrats,No,No,Somewhat agree,Strongly agree,Strongly agree,1,Every day,Every day,Never,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,,,Moderately knowledgeable,Moderately knowledgeable
Social Sciences,Man,Asian,21,Yes,Absentee / mail ballot,Clinton,Scared,Community engagement,,,Yes; it was counted,Only Democrats,Yes,No,Strongly agree,Strongly agree,Somewhat agree,2,Every couple of days,Every day,Once or twice a month,Very important,Very important,Very important,Moderately important,Important,Very important,Very important,Important,Very important,Very important,,,Very knowledgeable,Very knowledgeable
Engineering/Computer Science,Woman,Asian,20,,,,Excited,Volunteering,,,,,Yes,No,Strongly agree,Strongly disagree,Strongly disagree,7,Once or twice a year,Once or twice a month,Never,Very important,Important,Important,Very important,Very important,Very important,Important,Moderately important,Slightly important,Slightly important,,,Slightly knowledgeable,Not knowledgeable at all
Life Sciences,Woman,Asian,21,Yes,Polling station,Clinton,Scared,Community engagement,,3,No; I do not know how,Only Democrats,Yes,No,Strongly agree,Strongly agree,Somewhat agree,2,Once or twice a year,Once or twice a month,Never,Very important,Very important,Very important,Very important,Important,Very important,Very important,Important,Very important,Very important,,,Not knowledgeable at all,Slightly knowledgeable
Arts & Humanities,Gender non-binary,White,21,Yes,Absentee / mail ballot,Clinton,Angry,Other,Community organizing,,No; I did not check,Only Democrats,I do not remember,No,Somewhat agree,Somewhat agree,Somewhat disagree,1,Once a week,Every day,Never,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,US involvement in foreign affairs ex. Yemen,Moderately knowledgeable,Moderately knowledgeable
Business,Man,Asian,18,,,,"Sad,Scared",Community engagement,,2,Yes; it was counted,Only Democrats,No,No,Strongly agree,Somewhat agree,Somewhat disagree,4,Every couple of days,Every couple of days,Every couple of days,Very important,Very important,Very important,Slightly important,Important,Very important,Very important,Very important,Very important,Very important,Not important,,Moderately knowledgeable,Moderately knowledgeable
Life Sciences,Woman,White,21,Yes,Polling station,Clinton,"Sad,Scared,Angry,Other",Community engagement,,2,No; I do not know how,Mostly Democrats,I do not remember,No,Neutral,Neutral,Somewhat disagree,2,Every couple of days,Every day,Never,Very important,Very important,Very important,Very important,Important,Very important,Very important,Very important,Very important,Very important,Important,International relations,Moderately knowledgeable,Very knowledgeable
Social Sciences,Woman,White,22,Yes,Absentee / mail ballot,Clinton,"Sad,Scared,Angry",Community engagement,,1,No; I did not check,Only Democrats,Yes,No,Somewhat agree,Somewhat agree,Strongly disagree,1,Every day,Every couple of days,Once or twice a year,Very important,Very important,Very important,Very important,Important,Very important,Very important,Very important,Very important,Very important,,,Moderately knowledgeable,Moderately knowledgeable
Life Sciences,Woman,Asian,20,Yes,Absentee / mail ballot,Clinton,Sad,Community engagement,,,No; I did not check,Only Democrats,I do not remember,No,Somewhat agree,Strongly agree,Somewhat agree,2,Once or twice a month,Once a week,Never,Very important,Very important,Very important,Important,Important,Very important,Very important,Important,Very important,Very important,,,Slightly knowledgeable,Slightly knowledgeable
Physical Sciences/Mathematics,Man,Mixed Race,20,Yes,Absentee / mail ballot,Clinton,"Sad,Scared,Angry",Community engagement,,2,No; I do not know how,Only Democrats,I do not remember,I do not remember,Somewhat agree,Somewhat agree,Neutral,1,Every couple of days,Every day,Never,Very important,Very important,Very important,Very important,Important,Very important,Very important,Very important,Very important,Very important,Not important,,Moderately knowledgeable,Moderately knowledgeable
Physical Sciences/Mathematics,Man,Other,20,,,,"Scared,Angry",Community engagement,,,,,Yes,I did not have class that day,Neutral,Neutral,Neutral,4,Once a week,Once a week,Once a week,Important,Important,Important,Important,Moderately important,Important,Very important,Very important,Very important,Moderately important,Moderately important,,Moderately knowledgeable,Moderately knowledgeable
Social Sciences,Woman,White,20,Yes,Polling station,Clinton,"Sad,Scared,Angry",Community engagement,,2,No; I did not check,Only Democrats,I do not remember,No,Somewhat agree,Somewhat agree,Somewhat agree,2,Every day,Every day,Never,Very important,Very important,Very important,Very important,Important,Important,Very important,Very important,Very important,Very important,,,Very knowledgeable,Very knowledgeable
Life Sciences,Woman,Asian,19,,,,"Sad,Scared,Angry",Community engagement,,1,No; I do not know how,Only Democrats,I do not remember,No,Somewhat agree,Somewhat agree,Somewhat agree,3,Every couple of days,Every day,Never,Very important,Very important,Very important,Important,Moderately important,Very important,Very important,Important,Very important,Very important,,,Moderately knowledgeable,Very knowledgeable
Life Sciences,Woman,Asian,21,Yes,Absentee / mail ballot,3rd party,Angry,Voting,,,Yes; it was counted,Mostly Democrats,Yes,No,Somewhat agree,Somewhat agree,Neutral,2,Every couple of days,Every couple of days,Once or twice a month,Very important,Very important,Very important,Very important,Slightly important,Very important,Slightly important,Slightly important,Very important,Very important,Very important,,Very knowledgeable,Very knowledgeable
Business,Woman,Asian,19,,,,Other,Community engagement,,1,No; I do not know how,Only Democrats,I do not remember,No,Strongly agree,Somewhat disagree,Strongly disagree,3,Once a week,Every couple of days,Never,Very important,Important,Very important,Important,Important,Slightly important,Moderately important,Very important,Moderately important,Moderately important,Moderately important,Gerrymandering,Not knowledgeable at all,Slightly knowledgeable
Social Sciences,Woman,White,21,Yes,Absentee / mail ballot,Clinton,Scared,Volunteering,,,No; I do not know how,Only Democrats,I do not remember,No,Somewhat agree,Strongly agree,Somewhat agree,3,Once or twice a month,Once a week,Never,Important,Important,Very important,Very important,Important,Very important,Moderately important,Moderately important,Very important,Very important,,,Moderately knowledgeable,
Arts & Humanities,Man,Other,21,Yes,Polling station,Clinton,"Sad,Scared,Angry",Volunteering,,2,No; I did not check,Only Democrats,No,No,Strongly agree,Somewhat agree,Somewhat agree,1,Every day,Every day,Once or twice a month,Very important,Very important,Very important,Very important,Moderately important,Very important,Very important,Important,Important,Important,,,Moderately knowledgeable,Moderately knowledgeable
Social Sciences,Man,White,22,Yes,Polling station,Clinton,Scared,Community engagement,,1,Yes; it was counted,Only Democrats,Yes,I am currently studying abroad,Strongly agree,Strongly agree,Somewhat disagree,2,Every day,Every day,Once a week,Very important,Very important,Very important,Very important,Important,Very important,Very important,Important,Very important,Very important,,,Very knowledgeable,Extremely knowledgeable
Engineering/Computer Science,Woman,Mixed Race,18,,,,"Sad,Scared,Angry",Community engagement,,,,,Yes,I do not remember,Strongly agree,Somewhat agree,Neutral,2,Once or twice a month,Once or twice a month,Never,Very important,Very important,Very important,Very important,Moderately important,Important,Very important,Important,Very important,Very important,Not important,,Slightly knowledgeable,Slightly knowledgeable
Arts & Humanities,Man,White,20,Yes,Absentee / mail ballot,Clinton,Sad,Community engagement,,,No; I do not know how,Only Democrats,Yes,No,Strongly agree,Strongly agree,Somewhat agree,2,Every couple of days,Every day,Never,Very important,Important,Important,Important,Very important,Very important,Moderately important,Important,Important,Important,,,Very knowledgeable,Very knowledgeable
Life Sciences,Man,Asian,19,,,,"Sad,Scared,Angry",Voting,,5,Yes; it was counted,Mostly Democrats,I do not remember,No,Strongly agree,Strongly agree,Neutral,5,Every couple of days,Every day,Once or twice a year,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Moderately important,,Extremely knowledgeable,Extremely knowledgeable
Engineering/Computer Science,Woman,White,19,,,,"Sad,Scared,Angry",Community engagement,,,No; I do not know how,Only Democrats,I do not remember,No,Somewhat agree,Strongly agree,Somewhat agree,3,Every day,Every day,Never,Very important,Very important,Very important,Very important,Moderately important,Very important,Very important,Very important,Very important,Very important,Moderately important,,Very knowledgeable,Very knowledgeable
Social Sciences,Woman,White,19,,,,"Sad,Scared",Volunteering,,1,No; I did not check,Only Democrats,I do not remember,No,Strongly agree,Neutral,Strongly disagree,4,Every day,Every day,Never,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,,,Very knowledgeable,Slightly knowledgeable
Social Sciences,Man,Mixed Race,22,Yes,Polling station,Clinton,"Sad,Scared",Community engagement,,,Yes; it was not counted,Mostly Democrats,I do not remember,No,Neutral,Strongly disagree,Strongly disagree,4,Every couple of days,Every couple of days,Once a week,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,,,Moderately knowledgeable,Moderately knowledgeable
Social Sciences,Man,Decline to state,21,Yes,Absentee / mail ballot,,"Scared,Angry",Volunteering,,,No; I did not check,Mostly Democrats,Yes,Yes,Neutral,Neutral,Neutral,,Never,Once a week,Once or twice a year,Moderately important,Slightly important,Moderately important,Slightly important,Moderately important,Moderately important,Moderately important,Slightly important,Moderately important,Slightly important,,,Slightly knowledgeable,Slightly knowledgeable
Life Sciences,Woman,Mixed Race,20,Yes,Polling station,3rd party,"Sad,Scared,Angry",Community engagement,,3,No; I do not know how,Mostly Democrats,I do not remember,No,Neutral,Somewhat disagree,Strongly disagree,4,Once or twice a month,Once a week,Once or twice a year,Very important,Very important,Very important,Very important,Important,Very important,Moderately important,Very important,Important,Important,,,Moderately knowledgeable,Moderately knowledgeable
Business,Woman,Asian,19,,,,"Sad,Other",Community engagement,,2,,,Yes,No,Strongly agree,Somewhat agree,Neutral,4,Once or twice a month,Once a week,Once or twice a year,Important,Important,Important,Important,Important,Moderately important,Important,Slightly important,Important,Slightly important,,,Not knowledgeable at all,Not knowledgeable at all
Engineering/Computer Science,Man,Asian,20,No,,,Sad,Community engagement,,1,No; I do not know how,Mostly Democrats,Yes,No,Somewhat agree,Somewhat agree,Somewhat agree,2,Once or twice a year,Once a week,Never,Important,Moderately important,Moderately important,Important,Moderately important,Important,Moderately important,Moderately important,Moderately important,Important,,,Slightly knowledgeable,Slightly knowledgeable
Arts & Humanities,Man,Asian,19,,,,"Sad,Scared,Angry",Community engagement,,,Yes; it was counted,Only Democrats,I do not remember,No,Strongly agree,Strongly agree,Neutral,2,Every day,Every day,Once or twice a month,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Education,Moderately knowledgeable,Very knowledgeable
Physical Sciences/Mathematics,Man,Asian,21,Yes,Absentee / mail ballot,Clinton,Other,Volunteering,,,No; I do not know how,Mostly Democrats,I do not remember,No,Somewhat agree,Somewhat agree,Strongly agree,4,Once a week,Every couple of days,Never,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,,,Moderately knowledgeable,Slightly knowledgeable
Engineering/Computer Science,Man,Asian,21,No,I do not remember,,Other,Volunteering,,3,,,I do not remember,No,Strongly agree,Strongly disagree,Somewhat agree,5,Never,Once or twice a year,Never,Very important,Very important,Very important,Slightly important,Slightly important,Moderately important,Very important,Slightly important,Very important,Very important,,,Not knowledgeable at all,Not knowledgeable at all
Social Sciences,Woman,Mexican American/Chicanx,21,Yes,Provisional ballot,Clinton,"Sad,Scared,Angry,Other",Community engagement,,1,No; I did not check,Only Democrats,Yes,No,Strongly agree,Strongly agree,Strongly agree,1,Every couple of days,Every day,Never,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Men's rights,Slightly knowledgeable,Slightly knowledgeable
Life Sciences,Woman,White,20,,,,"Sad,Scared,Angry",Community engagement,,1,No; I do not know how,Only Democrats,Yes,No,Strongly agree,Strongly agree,Strongly agree,4,Once a week,Once a week,Never,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Moderately important,Very important,Important,,,Moderately knowledgeable,Slightly knowledgeable
Social Sciences,Woman,White,21,Yes,Absentee / mail ballot,Clinton,"Sad,Scared,Angry,Other",Community engagement,,,Yes; it was not counted,Only Democrats,No,No,Neutral,Strongly agree,Strongly disagree,1,Every day,Every day,Every couple of days,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Agricultural subsidies ,Extremely knowledgeable,Extremely knowledgeable
Engineering/Computer Science,Man,White,20,Yes,Absentee / mail ballot,Clinton,Sad,Volunteering,,1,No; I did not check,Only Democrats,No,No,Strongly agree,Neutral,Somewhat disagree,2,Every couple of days,Every couple of days,Once a week,Important,Important,Very important,Very important,Important,Important,Very important,Important,Very important,Very important,,,Moderately knowledgeable,Not knowledgeable at all
Social Sciences,Man,Mexican American/Chicanx,19,,,,Other,Voting,,2,No; I do not know how,Mostly Democrats,Yes,No,Strongly agree,Somewhat disagree,Somewhat agree,4,Every couple of days,Every couple of days,Never,Very important,Slightly important,Important,Very important,Moderately important,Important,Very important,Important,Very important,Slightly important,,,Moderately knowledgeable,Slightly knowledgeable
Social Sciences,Woman,White,21,Yes,Polling station,Clinton,"Sad,Scared,Angry",Community engagement,,,No; I do not know how,Mostly Democrats,Yes,No,Strongly agree,Strongly agree,Somewhat agree,3,Every couple of days,Every couple of days,Never,Very important,Very important,Very important,Important,Moderately important,Very important,Very important,Important,Very important,Very important,Important,international relations,Moderately knowledgeable,Slightly knowledgeable
Social Sciences,Woman,Asian,22,,,,Scared,Community engagement,,2,,,I do not remember,No,Somewhat agree,Somewhat agree,Neutral,3,Once or twice a month,Every couple of days,Every couple of days,Important,Important,Important,Important,Important,Very important,Very important,Important,Very important,Important,,,Moderately knowledgeable,Moderately knowledgeable
Business,Woman,White,18,,,,"Hopeful,Other",Community engagement,,1,No; I do not know how,A mix of candidates,I do not remember,No,Strongly agree,Strongly disagree,Strongly disagree,5,Once a week,Once or twice a month,Never,Important,Moderately important,Moderately important,Important,Very important,Very important,Important,Slightly important,Moderately important,Moderately important,Very important,Political Climate,Slightly knowledgeable,
Life Sciences,Woman,White,20,Yes,Absentee / mail ballot,Clinton,Angry,Voting,,,No; I did not check,Only Democrats,I do not remember,No,Strongly agree,Somewhat agree,Somewhat disagree,1,Once a week,Every couple of days,Never,Very important,Important,Important,Important,Important,Important,Important,Important,Important,Important,,,Slightly knowledgeable,Slightly knowledgeable
Engineering/Computer Science,Woman,Other Hispanic/Latinx,18,,,,Scared,Community engagement,,,,,No,No,Somewhat agree,Strongly disagree,Somewhat disagree,2,Every couple of days,Once a week,Never,Important,Very important,Very important,Very important,Important,Very important,Very important,Important,Very important,Important,Not important,,Slightly knowledgeable,Moderately knowledgeable
Social Sciences,Woman,Mexican American/Chicanx,21,Yes,Absentee / mail ballot,Clinton,"Sad,Scared,Angry",Community engagement,,,No; I do not know how,Only Democrats,Yes,No,Somewhat agree,Somewhat agree,Neutral,2,Once a week,Every couple of days,Never,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,,,Moderately knowledgeable,Moderately knowledgeable
Physical Sciences/Mathematics,Man,Mexican American/Chicanx,18,,,,"Sad,Scared,Angry",Community engagement,,3,Yes; it was counted,Only Democrats,No,No,Strongly agree,Strongly agree,Somewhat agree,3,Every day,Every day,Never,Important,Important,Very important,Very important,Important,Very important,Very important,Very important,Very important,Very important,Very important,Forest Service ,Moderately knowledgeable,Very knowledgeable
Engineering/Computer Science,Woman,Asian,21,No,I do not remember,,Angry,Community engagement,,,No; I do not know how,Only Democrats,Yes,No,Somewhat agree,Somewhat agree,Somewhat disagree,2,Once or twice a month,Once a week,Never,Important,Very important,Very important,Important,Moderately important,Very important,Very important,Important,Important,Important,,,Moderately knowledgeable,Not knowledgeable at all
Life Sciences,Man,Mexican American/Chicanx,19,,,,Angry,Volunteering,,2,No; I did not check,Only Democrats,I do not remember,Yes,Somewhat agree,Somewhat agree,Somewhat agree,3,Once or twice a month,Once or twice a month,Once or twice a year,Very important,Very important,Very important,Very important,Important,Very important,Very important,Very important,Very important,Very important,Very important,Education,Moderately knowledgeable,Moderately knowledgeable
Engineering/Computer Science,Woman,Mixed Race,19,,,,Scared,Volunteering,,2,No; I do not know how,Only Democrats,I do not remember,No,Strongly agree,Strongly agree,Somewhat disagree,2,Once or twice a month,Once a week,Once or twice a year,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Wealth redistribution,Slightly knowledgeable,Slightly knowledgeable
Engineering/Computer Science,Woman,White,20,Yes,Absentee / mail ballot,Clinton,"Sad,Scared,Angry",Voting,,,No; I do not know how,Only Democrats,I do not remember,No,Strongly agree,Strongly agree,Strongly agree,3,Once or twice a month,Every couple of days,Never,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,,,Very knowledgeable,Very knowledgeable
Social Sciences,Woman,Asian,18,,,,"Sad,Scared,Angry",Community engagement,,3,Yes; it was counted,Only Democrats,No,No,Strongly agree,Strongly agree,Somewhat agree,3,Every day,Every day,Once or twice a month,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,,,Very knowledgeable,Very knowledgeable
Life Sciences,Woman,Mixed Race,21,Yes,Polling station,Clinton,"Sad,Scared,Angry",Community engagement,,,No; I did not check,Only Democrats,Yes,No,Strongly agree,Strongly agree,Neutral,1,Every day,Every day,Every couple of days,Important,Very important,Very important,Very important,Moderately important,Very important,Very important,Very important,Very important,Very important,Moderately important,,Moderately knowledgeable,Moderately knowledgeable
Life Sciences,Woman,Asian,19,,,,"Sad,Scared,Angry",Community engagement,,2,No; I do not know how,Only Democrats,Yes,No,Strongly agree,Strongly agree,Somewhat agree,2,Every couple of days,Every couple of days,Never,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,,,Moderately knowledgeable,Moderately knowledgeable
Life Sciences,Man,Mexican American/Chicanx,19,,,,Angry,Voting,,1,No; I do not know how,Only Democrats,No,I did not have class that day,Strongly agree,Strongly agree,Somewhat agree,3,Every day,Every day,Every day,Very important,Very important,Very important,Very important,Very important,Important,Important,Moderately important,Very important,Moderately important,Not important,,Extremely knowledgeable,Extremely knowledgeable
Life Sciences,Man,Mexican American/Chicanx,18,,,,Other,Community engagement,,4,,,Yes,No,Strongly agree,Somewhat disagree,Strongly disagree,2,Once a week,Once or twice a month,Once or twice a year,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,,Slightly knowledgeable,Slightly knowledgeable
Arts & Humanities,Woman,Asian,19,,,,"Sad,Scared,Angry",Voting,,,Yes; it was counted,Mostly Democrats,No,No,Somewhat disagree,Strongly agree,Somewhat disagree,2,Every day,Every couple of days,Once a week,Very important,Very important,Important,Very important,Moderately important,Important,Moderately important,Very important,Important,Important,,,Very knowledgeable,Extremely knowledgeable
Life Sciences,Woman,Mixed Race,21,Yes,Polling station,Clinton,"Sad,Scared,Angry",Community engagement,,1,No; I do not know how,Only Democrats,No,No,Neutral,Somewhat agree,Neutral,3,Every couple of days,Every couple of days,Never,Very important,Very important,Very important,Very important,Important,Very important,Very important,Very important,Very important,Very important,,,Moderately knowledgeable,Moderately knowledgeable
Physical Sciences/Mathematics,Woman,Asian,21,Yes,Absentee / mail ballot,Clinton,"Sad,Scared,Angry",Community engagement,,,No; I did not check,Mostly Democrats,No,No,Neutral,Neutral,Somewhat disagree,3,Once or twice a year,Once or twice a year,Once or twice a year,Important,Important,Important,Important,Important,Important,Very important,Important,Very important,Very important,,,Slightly knowledgeable,Slightly knowledgeable
Social Sciences,Woman,White,20,Yes,Absentee / mail ballot,Clinton,Sad,Community engagement,,,Yes; it was counted,Only Democrats,No,I did not have class that day,Strongly agree,Somewhat agree,Neutral,3,Every couple of days,Every day,Once a week,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,,Moderately knowledgeable,Slightly knowledgeable
Social Sciences,Woman,White,22,Yes,Absentee / mail ballot,Clinton,"Sad,Angry",Donating money,,,No; I do not know how,Only Democrats,No,No,Strongly agree,Strongly agree,Somewhat agree,2,Every couple of days,Every day,Once a week,Very important,Very important,Important,Very important,Important,Very important,Important,Important,Very important,Very important,,,Moderately knowledgeable,Very knowledgeable
Business,Man,Asian,19,,,,"Sad,Scared,Other",Community engagement,,2,Yes; it was counted,Mostly Democrats,No,No,Strongly agree,Somewhat agree,Somewhat agree,3,Once or twice a month,Every couple of days,Once or twice a month,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,,,Moderately knowledgeable,Moderately knowledgeable
Engineering/Computer Science,Man,White,21,Yes,Absentee / mail ballot,,"Sad,Angry",Volunteering,,,No; I do not know how,Mostly Democrats,Yes,Yes,Strongly agree,Strongly agree,Somewhat agree,2,Once or twice a year,Once or twice a year,Once or twice a year,Very important,Important,Very important,Important,Moderately important,Very important,Very important,Important,Very important,Very important,,,Moderately knowledgeable,Moderately knowledgeable
Social Sciences,Woman,Mexican American/Chicanx,19,,,,Scared,Voting,,,No; I do not know how,Only Democrats,Yes,No,Strongly agree,Strongly agree,Somewhat agree,3,Every couple of days,Every couple of days,Never,Very important,Very important,Very important,Very important,Important,Very important,Very important,Very important,Very important,Very important,,,Moderately knowledgeable,Moderately knowledgeable
Engineering/Computer Science,Woman,Mixed Race,18,,,,"Sad,Scared,Angry",Donating money,,1,No; I do not know how,Only Democrats,No,No,Somewhat agree,Somewhat disagree,Neutral,4,Once a week,Every couple of days,Never,Very important,Very important,Very important,Moderately important,Moderately important,Important,Very important,Very important,Very important,Very important,,,Moderately knowledgeable,Moderately knowledgeable
Arts & Humanities,Woman,Mexican American/Chicanx,21,No,I do not remember,,"Sad,Scared,Angry",Community engagement,,1,No; I do not know how,Mostly Democrats,Yes,I do not remember,Neutral,Somewhat agree,Somewhat agree,1,Every couple of days,Every couple of days,Once a week,Very important,Very important,Very important,Very important,Important,Very important,Very important,Very important,Very important,Very important,Very important,,Very knowledgeable,Very knowledgeable
Arts & Humanities,Woman,Asian,18,,,,"Sad,Scared",Community engagement,,2,,,I do not remember,No,Somewhat agree,Somewhat agree,Somewhat agree,5,Once or twice a year,Once or twice a month,Never,Very important,Very important,Very important,Very important,Important,Very important,Very important,Important,Very important,Important,,,Not knowledgeable at all,Not knowledgeable at all
Arts & Humanities,Woman,Other Hispanic/Latinx,19,,,,Other,Voting,,,No; I did not check,Mostly Democrats,No,Yes,Somewhat agree,Strongly disagree,Strongly agree,8,Once or twice a month,Once or twice a month,Never,Important,Very important,Very important,Very important,Slightly important,Very important,Very important,Very important,Very important,Important,Important,,Not knowledgeable at all,Moderately knowledgeable
Social Sciences,Woman,Mixed Race,20,Yes,Absentee / mail ballot,Clinton,"Sad,Scared,Angry",Community engagement,,,No; I did not check,Only Democrats,Yes,No,Somewhat agree,Somewhat agree,Neutral,1,Once a week,Once a week,Once or twice a month,Very important,Very important,Very important,Very important,Important,Very important,Very important,Very important,Very important,Very important,Not important,,Moderately knowledgeable,Moderately knowledgeable
Engineering/Computer Science,Woman,White,21,Yes,Absentee / mail ballot,Clinton,"Sad,Scared,Angry",Community engagement,,1,No; I did not check,Only Democrats,No,No,Somewhat agree,Somewhat disagree,Strongly disagree,3,Once or twice a year,Once or twice a month,Never,Very important,Very important,Very important,Very important,Important,Important,Very important,Important,Very important,Very important,,,Slightly knowledgeable,Moderately knowledgeable
Life Sciences,Woman,Asian,19,,,,"Sad,Scared,Angry",Community engagement,,2,No; I do not know how,Mostly Democrats,I do not remember,No,Somewhat disagree,Strongly disagree,Somewhat agree,4,Once or twice a month,Once a week,Never,Very important,Very important,Very important,Very important,Moderately important,Important,Very important,Important,Moderately important,Very important,Very important,Education,Slightly knowledgeable,Not knowledgeable at all
Life Sciences,Woman,White,19,,,,"Sad,Scared,Angry,Other",Community engagement,,,No; I do not know how,Only Democrats,No,No,Somewhat agree,Strongly agree,Somewhat agree,1,Once a week,Every couple of days,Once or twice a month,Very important,Very important,Very important,Very important,Moderately important,Very important,Very important,Very important,Very important,Very important,,,Moderately knowledgeable,Moderately knowledgeable
Arts & Humanities,Woman,Mixed Race,19,,,,"Sad,Scared,Angry",Community engagement,,1,Yes; it was counted,Only Democrats,No,No,Somewhat agree,Strongly agree,Somewhat agree,4,Once or twice a month,Once a week,Once or twice a year,Very important,Very important,Very important,Very important,Important,Very important,Very important,Very important,Very important,Very important,,,Moderately knowledgeable,Moderately knowledgeable
Social Sciences,Man,White,21,Yes,Polling station,Clinton,Sad,Community engagement,,3,No; I did not check,Mostly Democrats,I do not remember,No,Somewhat disagree,Somewhat agree,Neutral,2,Once a week,Once or twice a month,Never,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,,Not knowledgeable at all,Moderately knowledgeable
Social Sciences,Woman,Mexican American/Chicanx,21,Yes,Polling station,Clinton,Scared,Volunteering,,,Yes; it was counted,Only Democrats,I do not remember,No,Strongly agree,Strongly agree,Strongly agree,3,Once or twice a month,Once or twice a month,Never,Very important,Very important,Very important,Very important,Important,Very important,Very important,Important,Very important,Very important,,,Slightly knowledgeable,Moderately knowledgeable
Engineering/Computer Science,Woman,Mexican American/Chicanx,21,Yes,Absentee / mail ballot,Clinton,"Sad,Scared,Angry",Volunteering,,,No; I did not check,Only Democrats,No,Yes,Strongly agree,Strongly agree,Neutral,3,Every couple of days,Every couple of days,Once or twice a month,Very important,Very important,Very important,Very important,Important,Important,Very important,Moderately important,Important,Very important,Very important,,Extremely knowledgeable,Extremely knowledgeable
Engineering/Computer Science,Woman,Mixed Race,18,,,,"Sad,Scared,Angry",Other,Running for office ,2,No; I did not check,Mostly Democrats,I do not remember,No,Somewhat agree,Somewhat agree,Somewhat agree,3,Once a week,Every couple of days,Never,Very important,Very important,Very important,Important,Important,Very important,Very important,Important,Very important,Very important,,,Moderately knowledgeable,Very knowledgeable
Business,Man,Decline to state,20,Yes,Polling station,Clinton,Scared,Community engagement,,3,No; I did not check,Only Democrats,No,No,Somewhat agree,Somewhat agree,Somewhat agree,3,Once or twice a month,Every couple of days,Every couple of days,Very important,Very important,Very important,Very important,Important,Very important,Very important,Very important,Very important,Very important,Moderately important,,Slightly knowledgeable,Moderately knowledgeable
Business,Man,Asian,18,,,,"Sad,Scared,Angry",Voting,,,Yes; it was counted,Only Democrats,Yes,No,Strongly agree,Somewhat agree,Somewhat disagree,3,Every day,Every day,Once or twice a month,Very important,Important,Important,Moderately important,Very important,Very important,Very important,Important,Very important,Slightly important,Very important,International Policy,Moderately knowledgeable,Slightly knowledgeable
Social Sciences,Woman,Asian,20,,,,Sad,Volunteering,,,,,No,No,Somewhat agree,Somewhat disagree,Somewhat disagree,4,Once or twice a month,Once a week,Once or twice a year,Very important,Very important,Very important,Very important,Moderately important,Important,Very important,Moderately important,Very important,Very important,,,Slightly knowledgeable,Slightly knowledgeable
Engineering/Computer Science,Woman,Asian,18,,,,Scared,Voting,,,,,No,No,Somewhat agree,Somewhat agree,Somewhat agree,3,Once a week,Once a week,Never,Moderately important,Important,Important,Very important,Moderately important,Very important,Important,Important,Very important,Important,Moderately important,,Slightly knowledgeable,Not knowledgeable at all
Physical Sciences/Mathematics,Man,White,20,Yes,Polling station,Clinton,Scared,Community engagement,,,No; I do not know how,Only Democrats,I do not remember,No,Somewhat agree,Somewhat agree,Somewhat disagree,3,Every couple of days,Every day,Once or twice a year,Very important,Important,Moderately important,Important,Important,Very important,Very important,Very important,Important,Moderately important,,,Very knowledgeable,Very knowledgeable
Business,Woman,White,19,,,,"Sad,Scared,Angry",Voting,,1,No; I did not check,Only Democrats,Yes,No,Strongly agree,Strongly agree,Somewhat agree,2,Once or twice a month,Every couple of days,Never,Very important,Very important,Very important,Very important,Moderately important,Very important,Very important,Important,Very important,Very important,,,Slightly knowledgeable,Slightly knowledgeable
